name,address,neighborhood,lat,lon,clover_url,category,google_rating,review_count,sources,verified,notes
Coco’s Sushi,3319 Mission St,Bernal Heights,37.743782,-122.420868,https://cocos-sushi-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Copper Chimney,"489 3rd Street, San Francisco, CA",South of Market,37.781691,-122.39591,https://curry-kabab-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Corona Heights Market,"4400 17th St, San Francisco, CA",Buena Vista,37.762143,-122.443458,https://corona-heights-market-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Creightons Fine Pastries LLC,"673 Portola Dr, San Francisco, CA",Miraloma Park,37.744684,-122.452627,https://creightons-fine-pastries-llc-san-francisco-2.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes; awardhelper:possible-inactive; nextcard:ordering-disabled
Crostini And Java,899 Hyde St (Bush and Hyde),Lower Nob Hill,37.789111,-122.417099,https://crostiniandjavasf.cloveronline.com,restaurants,4.75,,awardhelper+nextcard,,paze-on-storefront=yes
Cumaica Coffee,"1398 Mission Street, San Francisco, CA",South of Market,37.775538,-122.415912,https://cumaicacoffee.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes; awardhelper:possible-inactive; nextcard:ordering-disabled
CURRY HYUGA - Burlingame,"1204 Broadway, Burlingame, CA",Burlingame,37.586192,-122.36484,https://curry-hyuga-retail-burlingame.cloveronline.com,Retail & Services,,,awardhelper+nextcard,,paze-on-storefront=yes; awardhelper:paze-confidence-medium; awardhelper:possible-inactive; nextcard:ordering-disabled
DANCING YAK,280 Valencia Street,Mission Dolores,37.768358,-122.422396,https://dancing-yak-san-francisco.cloveronline.com,restaurants,,,inferred,,paze-on-storefront=yes; single-source(inferred); address-from-osm-name-match; inferred-not-in-any-map
De Afghanan Kabob House,"321 Kearny Street, San Francisco, CA",Chinatown,37.791079,-122.404362,https://de-afghanan-kabob-house-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Dhgs,"260 El Camino Real, San Bruno, CA",San Bruno,37.618951,-122.409362,https://diamondheadgeneralstore.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes; awardhelper:possible-inactive; nextcard:ordering-disabled
District Tea,"2154 Mission Street, San Francisco, CALIFORNIA",Mission,37.76252,-122.419701,https://district-tea-san-francisco.cloveronline.com,restaurants,,,nextcard,,paze-on-storefront=yes; single-source(nextcard)
Do-Re-Mi,"3491 19th Street, San Francisco, CALIFORNIA",Mission,37.759876,-122.421158,https://doremi-san-francisco.cloveronline.com,restaurants,,,nextcard,,paze-on-storefront=yes; single-source(nextcard)
Do-Re-Mi (Chinatown),"956 Grant Ave, San Francisco, CA",Chinatown,37.795813,-122.406487,https://doremi-chinatown-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Doppio Coffee & Brunch,"1551 Mission Street, San Francisco, CALIFORNIA",South of Market,37.773315,-122.418013,https://doppio-cafe-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
DragonEats,520 Gough St,Civic Center,37.778371,-122.42314,https://dragoneats-gough-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
DRAGONEATS Folsom,"555 Folsom St, San Francisco, CA",Rincon Hill,37.786381,-122.395368,https://dragoneats-folsom-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes; awardhelper:possible-inactive; nextcard:ordering-disabled
Dumpling Dough,"1195 Laurel St, San Carlos, CA",San Carlos,37.499049,-122.251984,https://dumpling-dough-san-carlos.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes; coords-outside-area(recovered-by-city+slug)
Easy Money,"2312 Irving Street, San Francisco, CA",Outer Sunset,37.763503,-122.482884,https://easymoney-sanfrancisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
El Gran Amigo 2,"1357 Linda Mar Shopping Center, Pacifica, CALIFORNIA",Pacifica,37.593531,-122.504358,https://el-gran-amigo-2-pacifica.cloveronline.com,restaurants,,,nextcard,,paze-on-storefront=yes; single-source(nextcard)
El Metate Con Sabor A Mexico,"2406 Bryant St, San Francisco, CA",Mission,37.755769,-122.409628,https://el-metate-san-francisco.cloveronline.com,restaurants,,,nextcard,,paze-on-storefront=yes; single-source(nextcard)
El Rincon de Jorgito,"1850 Cesar Chavez St, San Francisco, CA",Potrero Hill,37.750026,-122.39602,https://el-rincon-de-jorgito-san-francisco.cloveronline.com,restaurants,,,nextcard,,paze-on-storefront=yes; single-source(nextcard); nextcard:ordering-disabled
Ember Grill,670 Larkin St,Tenderloin,37.78401,-122.41767,https://ember-grill-san-francisco.cloveronline.com,restaurants,4.8,,awardhelper+nextcard,,paze-on-storefront=yes
Ensenada Restaurant,"4448 Mission Street, San Francisco, CA",Mission Terrace,37.726576,-122.43376,https://ensenada-restaurant-san-francisco-2.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Eyebrow Queen Salon Inc San Francisco,"3196 24th Street, San Francisco, CALIFORNIA",Mission,37.752511,-122.416045,https://eyebrow-queen-salon-inc-san-francisco-san-francisco.cloveronline.com,Beauty & Wellness,,,awardhelper+nextcard,,paze-on-storefront=yes
Flats Burgers,4753 Mission St,Excelsior,37.722118,-122.436407,https://flatsburgers.cloveronline.com,restaurants,5,,awardhelper+nextcard,,paze-on-storefront=yes; awardhelper:possible-inactive; nextcard:ordering-disabled
Fondue Chinoise,"430 Broadway, San Francisco, CA",North Beach,37.798436,-122.404545,https://fondue-chinoise-san-francisco.cloveronline.com,restaurants,,,awardhelper,,clover-url-dead(unreachable); single-source(awardhelper); awardhelper:possible-inactive
Food Basket Market,"475 Fell Street, San Francisco, CA",Hayes Valley,37.775441,-122.425899,https://food-basket-market-san-francisco-2.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes; awardhelper:possible-inactive
Friends Liquor,"1758 Fillmore Street, San Francisco, CA",Japantown,37.78601,-122.433022,https://friends-liquor-san-francisco.cloveronline.com,Retail & Services,,,awardhelper+nextcard,,paze-on-storefront=yes
Fuji Sukiyaki Inc,"428 E 3rd Avenue, San Mateo, CA",San Mateo,37.5664,-122.320823,https://fuji-sukiyaki-san-mateo.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes; awardhelper:possible-inactive; nextcard:ordering-disabled
Georgian Cheese Boat,"1224 Grant Avenue, San Francisco, CALIFORNIA",North Beach,37.798367,-122.406929,https://georgian-cheese-boat-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Godzila Sushi,"1800 Divisadero St, San Francisco, CA",Lower Pacific Heights,37.786351,-122.439977,https://godzila-sushi-san-francisco.cloveronline.com,restaurants,,,nextcard,,paze-on-storefront=yes; single-source(nextcard)
Guadalajar Grill,"19 Laurie Meadows Dr, San Mateo, CA",San Mateo,37.531057,-122.287397,https://guadalajar-grill-san-mateo.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Guadalajar Grill 2,"390 El Camino Real, Belmont, CALIFORNIA",Belmont,37.52671,-122.284706,https://guadalajar-grill-2-belmont.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Ha Mini Mart,"803 Grant Avenue, San Francisco, CA",Chinatown,37.794416,-122.406524,https://ha-mini-mart-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Halal Burgers #3,"22 6th St, San Francisco, CA",South of Market,37.781811,-122.410002,https://halal-burgers-3-san-francisco.cloveronline.com,restaurants,,,nextcard,,paze-on-storefront=yes; single-source(nextcard)
HAPPY DONUT Van Ness,"2101 Van Ness Ave, San Francisco, CA",Pacific Heights,37.794923,-122.423549,https://happy-donut-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Hawthorn Sf,"46 Geary Street, San Francisco, CA",Downtown / Union Square,37.787992,-122.404294,https://hawthorn-lounge-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes; awardhelper:possible-inactive; nextcard:ordering-disabled
Hem By LeQuy,"1050 Valencia Street, San Francisco, CA",Dolores Heights,37.755944,-122.421318,https://hem-by-lequy-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Himalayan Hub,"508 Valencia Street, San Francisco, CALIFORNIA",Mission Dolores,37.764649,-122.422021,https://himalayan-hub-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes; nextcard:ordering-disabled
Himalayan Pizza & Momo,"288 Golden Gate Ave, San Francisco, CA",Tenderloin,37.781927,-122.415372,https://himalayan-pizza-and-momo-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
HiroNori San Mateo,"211 East 3rd Avenue, San Mateo, CALIFORNIA",San Mateo,37.565263,-122.323008,https://hironori-san-mateo-san-mateo.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes; awardhelper:possible-inactive; nextcard:ordering-disabled
House Of Bagels,"5030 Geary Blvd, San Francisco, CA",Inner Richmond,37.780865,-122.473514,https://house-of-bagels-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Icicles Cream Roll Chandler,"98 East 3rd Avenue, San Mateo, CA",San Mateo,37.564134,-122.324147,https://liuyishou-hotpot-san-mateo-san-mateo.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes; awardhelper:possible-inactive; nextcard:ordering-disabled
